Company,Ticker,Market Cap,Price,Daily Change (%),Country
Agricultural Bank of China,ACGBY,155850000000.0,8.56,0.94,China
Moderna,MRNA,155340000000.0,384.86,1.57,USA
Nextera Energy,NEE,154030000000.0,78.52,0.22,USA
Linde,LIN,151500000000.0,293.38,-1.93,UK
Philip Morris,PM,147730000000.0,94.79,-4.72,USA
Hermès,HESAF,147460000000.0,1388.0,-0.26,France
Intuit,INTU,147330000000.0,539.51,-1.36,USA
Honeywell,HON,146550000000.0,212.28,-1.23,USA
Keyence,KYCCF,145670000000.0,597.0,2.19,Japan
QUALCOMM,QCOM,145480000000.0,128.98,-0.23,USA
Royal Bank Of Canada,RY,142730000000.0,99.48,0.24,Canada
Citigroup,C,142240000000.0,70.18,-1.89,USA
Unilever,UL,140610000000.0,54.22,-1.13,Netherlands
Lowe's Companies,LOW,140460000000.0,202.86,-2.05,USA
AIA,AAIGF,139770000000.0,11.36,-1.22,Hong Kong
Volkswagen,VOW3.DE,139340000000.0,224.81,-1.22,Germany
Sony,SONY,138460000000.0,110.58,-0.81,Japan
Charles Schwab,SCHW,137520000000.0,72.84,-3.37,USA
Dior,CHDRF,136210000000.00002,755.0,0.0,France
BHP Group,BHP,135690000000.0,53.52,1.71,Australia
HDFC Bank,HDB,134910000000.0,73.09,-0.2,India
Charter Communications,CHTR,133740000000.00002,727.56,-0.77,USA
American Express,AXP,133090000000.0,167.53,-2.34,USA
Siemens,SIEGY,132960000000.00002,82.14,-1.26,Germany
Ping An Insurance,PNGAY,132070000000.0,13.73,-1.93,China
Wuliangye Yibin,000858.SZ,131770000000.00002,33.95,0.32,China
Bristol-Myers Squibb,BMY,131479999999.99998,59.17,-1.6,USA
Starbucks,SBUX,130060000000.0,110.31,-1.66,USA
Raytheon Technologies,RTX,129610000000.00002,85.96,-1.18,USA
Boeing,BA,128910000000.0,219.94,-2.41,USA
Bank of China,BACHF,128580000000.00002,0.34,-0.64,China
Commonwealth Bank,CBA.AX,127830000000.0,72.12,-4.15,Australia
Union Pacific Corporation,UNP,127820000000.0,196.01,-2.81,USA
BlackRock,BLK,127640000000.0,838.66,-2.09,USA
Goldman Sachs,GS,127430000000.0,378.03,-1.78,USA
TotalEnergies,TTE,126580000000.0,47.93,0.57,France
AMD,AMD,124810000000.0,102.9,2.54,USA
IBM,IBM,124520000000.0,138.93,-0.18,USA
China Mobile,0941.HK,123440000000.0,6.03,-0.11,China
ServiceNow,NOW,123270000000.0,622.27,0.69,USA
Toronto Dominion Bank,TD,121110000000.0,66.15,-0.66,Canada
Sanofi,SNY,121020000000.0,48.21,-0.33,France
American Tower,AMT,120790000000.0,265.41,-1.7,USA
Amgen,AMGN,120750000000.0,212.65,-1.05,USA
Intuitive Surgical,ISRG,118290000000.0,994.15,0.18,USA
Gazprom,OGZPY,117510000000.0,9.94,0.81,Russia
Snap,SNAP,116790000000.0,73.87,2.94,USA
Applied Materials,AMAT,116230000000.0,128.73,0.36,USA
Inditex,IDEXY,115820000000.0,18.38,-1.55,Spain
Pinduoduo,PDD,113630000000.0,90.67,1.81,China
Diageo,DEO,113560000000.0,193.0,0.99,UK
Jingdong Mall,JD,113420000000.0,72.24,0.87,China
General Electric,GE,113090000000.0,103.03,-3.06,USA
Anheuser-Busch Inbev,BUD,112850000000.0,56.38,-2.02,Belgium
CVS Health,CVS,111970000000.0,84.86,-2.22,USA
Target,TGT,111640000000.0,228.77,-3.0,USA
BYD,002594.SZ,110460000000.0,38.61,5.72,China
China Life Insurance,LFC,110310000000.0,8.16,-0.12,China
Square,SQ,110250000000.0,239.84,1.61,USA
Transurban,TCL.AX,110080000000.0,10.03,-1.84,Australia
Estee Lauder,EL,108320000000.0,299.93,-2.11,USA
Rio Tinto,RIO,108180000000.0,66.82,1.64,UK
HSBC,HSBC,108050000000.0,26.15,-0.72,UK
Airbus,EADSF,106010000000.0,134.56,-1.58,Netherlands
Airbnb,ABNB,105450000000.0,167.75,-0.19,USA
Caterpillar,CAT,105090000000.0,191.97,-2.98,USA
Deere & Company,DE,103890000000.0,335.07,-4.5,USA
S&P Global,SPGI,102390000000.0,424.89,-0.41,USA
SABIC,2010.SR,101890000000.0,33.97,0.31,Saudi Arabia
3M,MMM,101500000000.0,175.42,-3.02,USA
Recruit,RCRRF,101270000000.0,61.97,0.76,Japan
Nippon Telegraph & Telephone,NPPXF,101080000000.0,27.9,-0.07,Japan
Sberbank,SBRCY,100780000000.0,18.75,4.28,Russia
SoftBank,SFTBF,100550000000.0,58.38,-2.03,Japan
Stryker Corporation,SYK,99440000000.0,263.72,-1.56,USA
Atlassian,TEAM,98600000000.0,391.42,0.99,Australia
Booking.com,BKNG,97470000000.0,2374.0,-0.17,USA
GlaxoSmithKline,GSK,96130000000.0,38.21,-0.31,UK
Deutsche Telekom,DTE.DE,95790000000.0,20.2,-0.8,Germany
Lockheed Martin,LMT,95560000000.0,345.1,-1.48,USA
Allianz,ALIZF,95510000000.0,231.81,1.12,Germany
Daimler,DAI.DE,95280000000.0,89.07,-0.88,Germany
Merck KGaA,MRK.DE,94710000000.0,217.85,1.3,Germany
CSL,CSL.AX,94610000000.0,207.63,-1.88,Australia
Infosys,INFY,94530000000.0,22.25,-1.02,India
Schneider Electric,SBGSF,94000000000.0,168.6,0.81,France
Macquarie,MQG.AX,93770000000.0,127.09,-3.18,Australia
Prologis,PLD,92720000000.0,125.43,-0.8,USA
BP,BP,92650000000.0,27.33,0.81,UK
Zoetis,ZTS,92010000000.0,194.14,-0.44,USA
Snowflake,SNOW,91000000000.0,302.43,2.94,USA
Anthem,ANTM,90890000000.0,372.8,-4.12,USA
ConocoPhillips,COP,90740000000.0,67.77,-0.4,USA
Analog Devices,ADI,90000000000.0,167.48,-0.81,USA
Kering,KER.PA,88960000000.0,715.14,-0.1,France
U.S. Bancorp,USB,88120000000.0,59.44,-1.36,USA
Gilead Sciences,GILD,87570000000.0,69.85,-1.54,USA
EssilorLuxottica,ESLOF,85300000000.0,193.76,0.57,France
Adyen,ADYYF,85300000000.0,2782.0,-6.8,Netherlands
Hindustan Unilever,HINDUNILVR.NS,84930000000.0,36.15,-0.75,India
Automatic Data Processing,ADP,84510000000.0,199.92,0.17,USA
Brookfield Asset Management,BAM,84500000000.0,53.51,0.32,Canada
Uber,UBER,84410000000.0,44.8,0.63,USA
Altria Group,MO,83940000000.0,45.52,-6.61,USA
MercadoLibre,MELI,83480000000.0,1679.0,0.99,Argentina
Blackstone Group,BX,83220000000.0,116.34,-2.17,USA
PNC Financial Services,PNC,83140000000.0,195.64,-0.91,USA
Equinor,EQNR,82660000000.0,25.5,2.66,Norway
Canadian National Railway,CNI,82480000000.0,115.65,-0.06,Canada
Al Rajhi Bank,1120.SR,81710000000.0,32.69,1.32,Saudi Arabia
BNP Paribas,BNPQF,81330000000.0,65.13,2.53,France
Mondelez,MDLZ,81320000000.0,58.18,-1.47,USA
Enbridge,ENB,81110000000.0,39.8,-0.05,Canada
British American Tobacco,BTI,80950000000.0,35.28,-3.25,UK
Hong Kong Exchanges & Clearing,HKXCF,80300000000.0,63.34,3.18,Hong Kong
Rosneft,ROSN.VI,80290000000.0,8.45,0.0,Russia
Novatek,NVTK.VI,80180000000.0,267.02,3.6,Russia
Lam Research,LRCX,80130000000.0,569.15,0.29,USA
Micron Technology,MU,79900000000.0,70.98,-0.78,USA
Dell,DELL,79600000000.0,104.04,-1.27,USA
Hikvision,002415.SZ,79450000000.0,8.51,0.0,China
TJX Companies,TJX,79340000000.0,65.98,-5.61,USA
Enel,ENLAY,78910000000.0,7.64,-2.18,Italy
Sinopec,SNP,78610000000.0,49.17,-0.67,China
China Tourism Group Duty Free,601888.SS,78550000000.0,40.23,3.47,China
Deutsche Post,DPW.DE,78360000000.0,63.25,-1.87,Germany
Truist Financial,TFC,78280000000.0,58.65,-1.3,USA
Siemens Healthineers,SEMHF,77710000000.0,68.95,0.0,Germany
HCA Healthcare,HCA,77700000000.0,242.72,-3.76,USA
Zoom,ZM,77690000000.0,261.5,1.59,USA
China Yangtze Power,600900.SS,77410000000.0,3.4,-0.54,China
Marsh & McLennan Companies,MMC,76710000000.0,151.43,-1.97,USA
General Motors,GM,76520000000.0,52.71,-0.42,USA
Mitsubishi UFJ Financial,MUFG,76100000000.0,5.93,-2.47,Japan
Air Liquide,AI.PA,75970000000.0,160.88,-0.79,France
Fast Retailing,FRCOF,75730000000.0,731.38,4.63,Japan
Scotiabank,BNS,75240000000.0,61.53,-0.4,Canada
Midea,000333.SZ,75200000000.0,10.77,-0.95,China
Fidelity National Information Services,FIS,75160000000.0,121.68,-1.35,USA
Duke Energy,DUK,75070000000.0,97.59,-0.76,USA
Crown Castle,CCI,74900000000.0,173.32,-1.39,USA
Chubb,CB,74860000000.0,173.48,-1.65,Switzerland
KDDI,KDDIF,74020000000.0,32.9,-4.03,Japan
Sherwin-Williams,SHW,73650000000.0,279.73,-0.9,USA
Atlas Copco,ATLKY,73590000000.0,60.44,0.54,Sweden
National Commercial Bank,1180.SR,72610000000.0,16.37,1.99,Saudi Arabia
Mindray,300760.SZ,72500000000.0,59.64,2.92,China
Capital One,COF,72250000000.0,161.97,-2.75,USA
Fiserv,FISV,71840000000.0,108.5,-1.96,USA
Foshan Haitian Flavouring and Food,603288.SS,71700000000.0,17.02,0.23,China
Edwards Lifesciences,EW,71080000000.0,113.21,-0.27,USA
Equinix,EQIX,70910000000.0,790.13,-1.43,USA
Postal Savings Bank of China,601658.SS,70730000000.0,0.79,-0.2,China
Becton Dickinson,BDX,70590000000.0,245.82,-2.37,USA
Shin-Etsu Chemical,SHECF,70360000000.0,168.87,-2.29,Japan
BASF,BFFAF,70230000000.0,76.47,-0.63,Germany
WuXi Biologics,WXXWY,70110000000.0,32.52,2.36,China
Naspers,NPSNY,70010000000.0,33.26,-0.69,South Africa
WuXi AppTec,2359.HK,69690000000.0,23.38,2.48,China
Vale,VALE,69630000000.0,13.95,-0.14,Brazil
DoorDash,DASH,69600000000.0,205.98,0.07,USA
CME Group,CME,69450000000.0,193.38,-1.42,USA
LONGi Green Energy Technology,601012.SS,69080000000.0,12.76,1.74,China
Dassault Systèmes,DASTF,68860000000.0,52.57,-3.12,France
Xiaomi,XIACF,68550000000.0,2.75,-0.36,China
Tokyo Electron,TOELF,68450000000.0,440.08,-6.47,Japan
Cigna,CI,68069999999.99999,200.16,-1.85,USA
Westpac Banking,WBK,67910000000.0,18.53,1.48,Australia
Petrobras,PBR,67430000000.00001,10.34,-0.39,Brazil
ABB,ABB,67379999999.99999,33.36,-0.83,Switzerland
Investor AB,IVS.F,67230000000.00001,21.65,2.02,Sweden
CSX Corporation,CSX,67040000000.00001,29.74,-2.04,USA
AXA,AXAHY,67030000000.0,27.96,0.36,France
China Shenhua Energy,CSUAY,66910000000.0,9.24,4.17,China
BioNTech,BNTX,66200000000.0,272.99,-1.6,Germany
Moody's,MCO,66120000000.00001,355.11,-1.2,USA
Housing Development Finance Corporation,HDFC.NS,65780000000.0,36.38,-2.02,India
Southern Company,SO,65610000000.0,61.97,-1.07,USA
Nidec,NNDNF,65610000000.0,112.0,-4.02,Japan
ICICI Bank,IBN,65519999999.99999,18.87,-1.77,India
Bank of Montreal,BMO,65099999999.99999,99.73,-0.77,Canada
Illinois Tool Works ,ITW,65080000000.0,206.63,-3.11,USA
Regeneron Pharmaceuticals,REGN,64720000000.0,605.18,-0.25,USA
Intercontinental Exchange,ICE,64660000000.0,114.82,-1.78,USA
National Australia Bank,NAB.AX,64560000000.0,19.61,-2.3,Australia
Aon,AON,64510000000.00001,285.77,-1.88,UK
Daikin,DKILY,64000000000.0,21.87,-0.14,Japan
Glencore,GLCNF,63820000000.0,4.76,2.04,Switzerland
Colgate-Palmolive,CL,63750000000.0,75.58,-1.95,USA
Iberdrola,IBDSF,63640000000.0,10.0,-3.4,Spain
Illumina,ILMN,63470000000.0,405.61,-1.46,USA
Santander,SAN,62980000000.0,3.62,-1.36,Spain
Waste Management,WM,62890000000.0,149.36,-1.48,USA
Autodesk,ADSK,62690000000.0,285.17,-0.98,USA
BMW,BMW.DE,62270000000.0,96.08,-2.02,Germany
Vmware,VMW,62260000000.0,148.7,-1.21,USA
Workday,WDAY,61970000000.0,249.89,0.15,USA
Lukoil,LUKOY,61790000000.0,94.66,-1.15,Russia
Boston Scientific,BSX,61780000000.0,43.39,-1.14,USA
Great Wall Motors,601633.SS,61370000000.0,8.14,2.27,China
Adidas,ADDDF,61310000000.0,312.08,-0.04,Germany
Walmex,WMMVF,61190000000.0,3.37,-2.03,Mexico
Bajaj Finance,BAJFINANCE.NS,61050000000.0,101.16,-2.14,India
Zurich Insurance Group,ZURN.SW,61030000000.0,411.05,-0.49,Switzerland
Chugai Pharmaceutical,4519.T,60340000000.0,36.71,0.07,Japan
Heineken,HEIA.AS,60290000000.0,104.72,0.42,Netherlands
Activision Blizzard,ATVI,60180000000.0,77.39,0.01,USA
Vinci,DG.PA,60020000000.0,104.66,-0.52,France
Hitachi,HTHIF,59840000000.0,61.88,0.0,Japan
Stellantis,STLA,59830000000.0,19.1,-0.88,Netherlands
Ecolab,ECL,59680000000.0,208.62,-1.92,USA
Coinbase,COIN,59570000000.0,227.48,0.98,USA
Eaton,ETN,59540000000.0,149.31,-2.71,Ireland
NetEase,NTES,59420000000.0,85.4,4.53,China
Norfolk Southern,NSC,59080000000.0,239.25,-2.04,USA
Compagnie Financière Richemont,CFR.SW,59040000000.0,104.39,-0.47,Switzerland
Dominion Energy,D,59030000000.0,73.02,-1.79,USA
Industrial Bank,601166.SS,58820000000.0,2.83,-1.13,China
Bank Central Asia,BBCA.JK,58440000000.0,2.37,-3.0,Indonesia
Hoya,HYB.F,58430000000.0,150.98,-2.77,Japan
America Movil,AMX,58390000000.0,17.67,0.23,Mexico
NIO,NIO,58380000000.0,35.63,1.42,China
FedEx,FDX,58250000000.0,219.29,-0.81,USA
SK Hynix,000660.KS,58120000000.0,84.53,-2.91,S. Korea
Pernod Ricard,RI.PA,57760000000.0,221.39,-0.13,France
Northrop Grumman,NOC,57660000000.0,360.15,-0.78,USA
DBS,DBSDF,57520000000.0,22.04,0.78,Singapore
DSV,DSV.VI,57270000000.0,241.01,0.97,Denmark
Nongfu Spring,9633.HK,57260000000.0,5.09,2.45,China
ING,ING,56900000000.0,14.49,-1.43,Netherlands
Murata Seisakusho,MRAAF,56820000000.0,88.5,2.37,Japan
Volvo,VOLVF,56730000000.0,22.89,2.03,Sweden
Air Products and Chemicals,APD,56690000000.0,256.11,-1.01,USA
Ford,F,56560000000.0,14.16,-0.98,USA
Reckitt Benckiser,RBGPF,56520000000.0,78.65,-0.43,UK
Twilio,TWLO,56510000000.0,319.05,2.0,USA
RELX,RELX,56460000000.0,28.86,-0.07,UK
Emerson,EMR,56310000000.0,94.2,-1.51,USA
Ørsted,DOGEF,56190000000.0,132.6,-2.37,Denmark
ANZ Bank,ANZ.AX,56170000000.0,19.74,-2.77,Australia
China Telecom,0728.HK,56130000000.0,0.33,-0.38,China
CrowdStrike,CRWD,56080000000.0,245.78,2.59,USA
Lonza,LONN.SW,55840000000.0,751.81,0.69,Switzerland
UBS,UBS,55670000000.0,15.94,-1.24,Switzerland
Intesa Sanpaolo,ISNPY,55620000000.0,17.12,-0.06,Italy
Safran,SAFRF,55370000000.0,129.09,-1.32,France
Thomson Reuters,TRI,55140000000.0,110.48,-0.39,Canada
East Money Information,300059.SZ,54960000000.0,5.32,2.05,China
Baidu,BIDU,54810000000.0,153.75,1.2,China
General Dynamics,GD,54790000000.0,196.03,-1.19,USA
Denso,DNZOF,54780000000.0,71.0,0.0,Japan
lululemon athletica,LULU,54640000000.0,404.7,-1.35,Canada
Nintendo,NTDOF,54560000000.0,470.2,-1.96,Japan
State Bank of India,SBIN.NS,54490000000.0,6.11,-0.01,India
Bayer,BAYZF,54140000000.0,54.7,-0.55,Germany
Ping An Bank,000001.SZ,53840000000.0,2.77,-1.21,China
Infineon,IFX.DE,53660000000.0,41.24,0.82,Germany
Honda,HMC,53360000000.0,30.67,-2.94,Japan
LG Chem,051910.KS,53210000000.0,651.69,-0.64,S. Korea
Kotak Mahindra Bank,KOTAKBANK.NS,53150000000.0,26.8,-0.86,India
Oriental Land,OLL.F,52970000000.0,161.37,0.0,Japan
IDEXX Laboratories,IDXX,52900000000.0,621.9,-1.22,USA
DexCom,DXCM,52900000000.0,546.86,0.23,USA
Progressive,PGR,52900000000.0,90.39,-0.82,USA
MetLife,MET,52890000000.0,61.73,-1.36,USA
Nordea Bank,NDA-FI.HE,52710000000.0,13.05,0.84,Finland
Align Technology,ALGN,52650000000.0,665.43,-1.13,USA
Takeda Pharmaceutical,TAK,52140000000.0,16.38,0.43,Japan
Public Storage,PSA,52060000000.0,297.1,-1.73,USA
Ferrari,RACE,51940000000.0,209.12,-0.12,Italy
NXP Semiconductors,NXPI,51930000000.0,195.87,-1.45,Netherlands
Wanhua Chemical,600309.SS,51860000000.0,16.52,0.51,China
Itaú Unibanco,ITUB,51540000000.0,5.27,-0.38,Brazil
Foxconn,2317.TW,51330000000.0,3.7,-1.9,Taiwan
Prudential,PUK,51260000000.0,39.18,0.56,UK
Chipotle Mexican Grill,CMG,51060000000.0,1818.0,-1.57,USA
KLA,KLAC,50840000000.0,334.51,-0.24,USA
Bharti Airtel,BHARTIARTL.NS,50790000000.0,9.08,-2.11,India
London Stock Exchange,LS4C.F,50640000000.0,99.31,0.42,UK
DocuSign,DOCU,50640000000.0,257.43,0.21,USA
MediaTek,2454.TW,50620000000.0,31.82,-2.21,Taiwan
CIBC,CM,50440000000.0,111.3,-0.28,Canada
Anglo American,AAM.SW,50310000000.0,35.36,0.0,UK
MSCI,MSCI,50150000000.0,608.34,-0.39,USA
Humana,HUM,50000000000.0,389.15,-1.57,USA
CNOOC,CNU.TO,49930000000.0,100.68,0.0,China
United Heavy Machinery,OMZZP.ME,49720000000.0,58.74,0.71,Russia
Jiangsu Hengrui Medicine,600276.SS,49720000000.0,7.77,0.62,China
Maersk,DP4A.F,49690000000.0,2589.0,-5.91,Denmark
Sartorius,SRT.DE,49670000000.0,774.35,8.1,Germany
Marvell Technology Group,MRVL,49670000000.0,60.31,0.27,USA
Dollar General,DG,49490000000.0,212.14,-2.23,USA
Anta Sports,AS7.F,49350000000.0,18.26,-2.93,China
Samsung Biologics,207940.KS,49040000000.0,741.29,0.34,S. Korea
Banco Santander Brasil,BSBR,48820000000.0,6.54,-2.24,Brazil
Z Holdings,4689.T,48700000000.0,6.41,-0.08,Japan
Hyundai,HYMTF,48660000000.0,40.63,-1.06,S. Korea
Johnson Controls,JCI,48480000000.0,68.08,-3.42,Ireland
Keurig Dr Pepper,KDP,48420000000.0,34.16,-0.85,USA
Coupang,CPNG,48330000000.0,27.85,-1.35,S. Korea
Naver,035420.KS,48260000000.0,323.31,-1.42,S. Korea
Wipro,WIT,48230000000.0,8.83,-0.67,India
Marriott International,MAR,48220000000.0,148.09,-2.51,USA
Twitter,TWTR,48180000000.0,60.39,0.53,USA
Bank of Communications,BKFCF,48110000000.0,0.59,0.0,China
Sumitomo Mitsui Financial Group,SMFG,48030000000.0,7.01,-3.18,Japan
ENI,E,47840000000.0,26.75,0.98,Italy
Freeport-McMoRan,FCX,47750000000.0,32.53,-1.75,USA
Fortinet,FTNT,47690000000.0,292.04,1.11,USA
Agilent Technologies,A,47680000000.0,157.53,-1.54,USA
Daiichi Sankyō,DSKYF,47570000000.0,27.4,0.18,Japan
CITIC Securities,600030.SS,47460000000.0,3.91,-1.29,China
TC Energy,TRP,47350000000.0,48.09,-0.08,Canada
Enterprise Products,EPD,47290000000.0,21.64,-1.1,USA
Exelon Corporation,EXC,47260000000.0,48.34,-0.6,USA
Vertex Pharmaceuticals,VRTX,47050000000.0,181.39,-0.46,USA
Liberty Bancshares,LBSI,47050000000.0,61.0,0.0,USA
Roper Technologies,ROP,47030000000.0,446.13,-2.07,USA
Monster Beverage,MNST,46980000000.0,88.83,-0.56,USA
Palantir,PLTR,46950000000.0,24.04,-1.96,USA
American International Group,AIG,46940000000.0,54.89,-1.7,USA
EOG Resources,EOG,46860000000.0,80.27,-2.79,USA
HCL Technologies,HCLTECH.NS,46710000000.0,17.21,-0.2,India
Palo Alto Networks,PANW,46650000000.0,479.0,1.25,USA
Jardine Matheson,JARLF,46590000000.0,53.0,3.31,Hong Kong
IHS Markit,INFO,46510000000.0,116.62,-0.35,UK
Global Payments,GPN,46280000000.0,157.58,-1.94,USA
S.F. Express,002352.SZ,46070000000.0,10.11,-1.4,China
IQVIA,IQV,45950000000.0,239.54,-1.39,USA
BCE,BCE,45830000000.0,50.06,0.99,Canada
Nornickel,NILSY,45730000000.0,29.92,-1.93,Russia
Synopsys,SNPS,45660000000.0,299.41,-1.06,USA
eBay,EBAY,45280000000.0,69.67,-0.43,USA
Sika,SIKA.SW,45080000000.0,318.04,-0.4,Switzerland
Kraft Heinz,KHC,45040000000.0,36.82,-1.89,USA
TE Connectivity,TEL,45000000000.0,137.22,-1.07,Switzerland
Carrier,CARR,44910000000.0,51.76,-2.06,USA
Wesfarmers,WES.AX,44740000000.0,39.47,-1.85,Australia
Bank of New York Mellon,BK,44740000000.0,51.84,-1.5,USA
AIER Eye Hospital,300015.SZ,44670000000.0,8.26,1.46,China
T. Rowe Price,TROW,44630000000.0,196.7,-2.58,USA
Kimberly-Clark,KMB,44600000000.0,132.44,-2.46,USA
Danone,BN.PA,44590000000.0,68.55,-0.52,France
Banco Bilbao Vizcaya Argentaria,BBVA,44530000000.0,6.59,-0.45,Spain
Lloyds Banking Group,LYG,44450000000.0,2.45,-0.41,UK
L3Harris Technologies,LHX,44250000000.0,220.24,-1.25,USA
Ambev,ABEV,44240000000.0,2.76,-1.43,Brazil
Veeva Systems,VEEV,44210000000.0,288.17,1.85,USA
Kuaishou Technology,1024.HK,44170000000.0,10.62,-2.25,China
Datadog,DDOG,43820000000.0,141.35,2.32,USA
Amphenol,APH,43800000000.0,73.23,-1.76,USA
Itōchū Shōji,ITOCF,43800000000.0,29.36,-0.73,Japan
Neste,NESTE.HE,43660000000.0,56.85,0.58,Finland
Canadian Pacific Railway,CP,43640000000.0,65.07,-1.45,Canada
National Grid,NGG,43570000000.0,59.63,-0.96,UK
Barclays,BCS,43470000000.0,10.32,0.68,UK
Match Group,MTCH,43450000000.0,156.99,3.03,USA
Roblox,RBLX,43450000000.0,75.55,-1.0,USA
Canadian Natural Resources,CNQ,43400000000.0,36.54,0.69,Canada
Southern Copper,SCCO,43400000000.0,56.14,-1.8,USA
Newmont,NEM,43390000000.0,54.3,1.1,USA
Crédit Agricole,CRARF,43250000000.0,14.21,0.0,France
Fanuc,FANUF,43140000000.0,224.96,-2.58,Japan
Spotify,SPOT,43120000000.0,225.34,2.28,Sweden
Dow,DOW,42920000000.0,57.56,-2.14,USA
Simon Property Group,SPG,42710000000.0,129.97,-2.9,USA
Vodafone,VOD,42550000000.0,15.45,-1.53,UK
Kakao,035720.KS,42370000000.0,98.05,-1.69,S. Korea
